%%TM,TN,TQ,Stat,Clas,M,PR,PA,PE,PT,MR,MA,ME,MT,md ,H,Str,FX,FY,FZ,FVX,FVY,FVZ,FVR,FAX,FAY,FAZ,FT,FirstLat,firstLong,FirstAlt,MeasLat,MeasLon,MeasAlt,RNG_MIN,RNG_MAX,AZM_MIN,AZM_MAX,ELV_MIN,ELV_MAX
31,22,14,3,0,1,3106,252.1544,4.08,21571.656,3104.96,252.409,3.8994,21571.672,1,1,127519.09,-2951.8035,-940.3233,214.3438,-11.97,15.57,5.15,20.3,0,0,0,21571.67,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,1126,5086,249.55,254.75,1.68,6.48
31,22,14,3,0,1,3109.91,252.5501,4.0135,21572.316,3113.76,252.621,3.9652,21572.316,6,1,157050.23,-2962.4587,-928.86,216.3132,-14.37,16.72,4.05,22.42,0,0,0,21572.32,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2908.89,3308.89,251.2,253.8,2.8,5.2
31,22,14,3,0,1,3118.04,252.8335,4.0264,21572.965,3117.54,252.9361,3.9214,21572.965,9,1,71004.3,-2972.676,-914.9382,215.6288,-15.1,19.21,1.31,24.47,0,0,0,21572.96,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2916.69,3316.69,251.48,254.08,2.82,5.22
31,22,14,3,0,1,3122.2,253.1022,3.9722,21573.465,3111.06,253.0162,3.8084,21573.531,2,1,27971.09,-2973.8811,-906.1133,210.8611,-10.65,18.65,-2.72,21.65,0,0,0,21573.53,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2922.2,3322.2,251.8,254.4,2.77,5.17
31,22,14,3,0,1,3118.3,253.2474,3.8523,21574.031,3131.95,233.2879,3.1457,21574.057,1,1,26609.56,-2983.9397,-897.761,204.0304,-13.55,18.03,-6.43,23.45,0,0,0,21574.06,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2918.3,3318.3,251.95,254.55,2.65,5.05
31,22,14,3,0,1,3118.3,253.2474,3.8523,21574.031,3135.95,253.2879,3.6457,21574.057,1,1,26609.56,-2983.9397,-897.761,204.0304,-13.55,18.03,-6.43,23.45,0,0,0,21574.06,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2918.3,3318.3,251.95,254.55,2.65,5.05
31,22,14,3,0,1,3118.3,253.2474,3.8523,21574.031,3121.95,258.2879,3.8757,21574.057,1,1,26609.56,-2983.9397,-897.761,204.0304,-13.55,18.03,-6.43,23.45,0,0,0,21574.06,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2918.3,3318.3,251.95,254.55,2.65,5.05
31,22,14,3,0,1,3126.43,253.4497,3.6827,21574.557,3130.61,253.5455,3.3608,21574.641,6,1,108498.83,-2994.364,-886.9535,191.9827,-15.48,19.08,-12.11,27.39,0,0,0,21574.64,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2926.43,3326.43,252.15,254.75,2.48,4.88
31,22,14,3,0,1,3133.22,253.7081,3.4019,21575.141,3123.41,253.6411,3.25,21575.152,7,1,94105.63,-2997.2874,-877.8383,181.5556,-13.1,18.84,-14.87,27.34,0,0,0,21575.15,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2933.22,3333.22,252.41,255.01,2.2,4.6
31,22,14,3,0,1,3128.9,253.7032,3.3078,21575.652,3128.9,253.7032,3.3078,21575.652,8,0,0,-2998.1829,-876.55,180.539,-13.1,18.84,-14.87,27.34,0,0,0,21575.65,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2928.9,3328.9,252.4,255,2.11,4.51
31,22,14,3,0,1,3135.96,254.1328,3.0067,21576.301,3137.08,254.1006,3.5135,21576.301,2,1,229811.05,-3012.0745,-856.8717,177.7298,-12.98,18.48,-6.53,23.5,0,0,0,21576.3,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2935.96,3335.96,252.83,255.43,1.81,4.21
31,22,14,3,0,1,3140.17,254.3149,3.185,21576.908,3146.88,254.3295,3.5428,21576.908,10,1,142753.47,-3021.9663,-846.8867,183.6056,-13.91,17.8,-0.31,22.59,0,0,0,21576.91,13.187486,78.163879,753.799988,13.187486,78.163879,753.7999878,2940.17,3340.17,253.01,255.61,1.98,4.38
31,22,14,3,0,1,3148.05,254.5352,3.3405,21577.408,3146.52,254.6543,3.4571,21577.455,1,1,206630.2,-3028.8733,-834.9708,186.4245,-13.89,19.47,1.58,23.96,0,0,0,21577.46,13.187486,78.163879,753.809998,13.187486,78.163879,753.8099976,2948.05,3348.05,253.24,255.84,2.14,4.54
31,22,14,3,0,1,3151.55,254.7925,3.4056,21577.955,3157.38,255.5155,3.3489,21578.018,1,1,55116.61,-3042.375,-809.1308,185.9069,-17.02,28.46,0.75,33.17,0,0,0,21578.02,13.187486,78.163879,753.809998,13.187486,78.163879,753.8099976,2951.55,3351.55,253.49,256.09,2.21,4.61
31,22,14,3,0,1,3158.24,255.3964,3.3814,21578.518,3158.39,255.0785,3.2855,21578.559,6,1,129976.54,-3049.9502,-801.7465,183.8085,-16.56,24.61,-0.82,29.68,0,0,0,21578.56,13.187486,78.163879,753.809998,13.187486,78.163879,753.8099976,2958.24,3358.24,254.1,256.7,2.18,4.58
